CASO,R,G,B,CLASE
1,3,3,3,1
2,6,6,6,1
3,4,4,4,1
4,1,1,1,1
5,9,9,9,1
6,6,6,6,1
7,222,222,222,1
8,1,1,1,1
9,1,1,1,1
10,1,1,1,1
11,1,1,1,1
12,1,1,1,1
13,1,1,1,1
14,1,1,1,1
15,219,221,207,1
16,229,231,218,1
17,217,219,206,1
18,224,226,215,1
19,232,234,223,1
20,225,226,221,1
21,7,7,5,1
22,8,8,6,1
23,6,6,4,1
24,9,9,9,1
25,203,203,203,1
26,221,221,219,1
27,207,208,203,1
28,228,229,223,1
29,216,218,207,1
30,204,206,193,1
31,207,209,195,1
32,206,209,192,1
33,231,233,220,1
34,9,10,12,1
35,217,218,222,1
36,223,224,228,1
37,215,216,220,1
38,221,222,226,1
39,237,238,242,1
40,219,220,224,1
41,233,234,238,1
42,218,219,224,1
43,211,212,217,1
44,224,225,230,1
45,222,223,228,1
46,223,224,229,1
47,232,236,239,1
48,223,227,228,1
49,220,226,224,1
50,217,226,225,1
51,215,224,223,1
52,214,222,225,1
53,214,222,225,1
54,214,221,229,1
55,215,222,230,1
56,211,220,229,1
57,210,219,228,1
58,208,216,227,1
59,207,215,226,1
60,206,216,226,1
61,207,217,227,1
62,209,219,229,1
63,210,220,230,1
64,210,218,229,1
65,210,218,229,1
66,210,219,228,1
67,210,219,228,1
68,210,219,226,1
69,210,219,226,1
70,210,219,224,1
71,210,219,224,1
72,212,222,224,1
73,212,222,224,1
74,212,222,223,1
75,213,223,224,1
76,213,223,224,1
77,214,224,225,1
78,214,224,223,1
79,214,224,223,1
80,217,222,226,1
81,217,222,226,1
82,217,220,225,1
83,217,220,225,1
84,219,220,225,1
85,219,220,225,1
86,221,220,226,1
87,221,220,226,1
88,223,222,228,1
89,221,220,226,1
90,221,222,227,1
91,224,225,230,1
92,223,226,231,1
93,220,223,228,1
94,219,224,228,1
95,222,227,231,1
96,221,224,229,1
97,221,224,229,1
98,221,224,229,1
99,221,224,229,1
100,221,224,229,1
101,221,224,229,1
102,221,224,229,1
103,221,224,229,1
104,222,225,230,1
105,222,225,230,1
106,222,225,230,1
107,222,225,230,1
108,222,225,230,1
109,222,225,230,1
110,222,225,230,1
111,222,225,230,1
112,221,224,231,1
113,221,224,231,1
114,221,224,231,1
115,221,224,231,1
116,221,224,231,1
117,221,224,231,1
118,221,224,231,1
119,221,224,231,1
120,220,223,230,1
121,220,223,230,1
122,220,223,230,1
123,219,222,229,1
124,219,222,229,1
125,218,221,228,1
126,218,221,228,1
127,217,222,228,1
128,214,218,229,1
129,212,219,229,1
130,211,218,228,1
131,211,218,228,1
132,210,217,227,1
133,210,217,227,1
134,210,217,227,1
135,209,216,226,1
136,207,214,224,1
137,207,214,224,1
138,207,214,224,1
139,207,214,224,1
140,207,214,224,1
141,208,215,225,1
142,209,216,226,1
143,209,216,226,1
144,209,217,228,1
145,209,217,228,1
146,209,217,228,1
147,209,217,228,1
148,210,218,229,1
149,210,218,229,1
150,210,218,229,1
151,210,218,229,1
152,210,218,229,1
153,210,218,229,1
154,210,218,229,1
155,210,218,229,1
156,210,218,229,1
157,210,218,229,1
158,210,218,229,1
159,210,218,229,1
160,211,217,229,1
161,211,217,229,1
162,211,217,229,1
163,212,218,230,1
164,212,218,230,1
165,213,219,231,1
166,213,219,231,1
167,213,219,231,1
168,206,212,224,1
169,206,212,224,1
170,205,211,223,1
171,205,211,223,1
172,204,210,222,1
173,204,210,222,1
174,203,209,221,1
175,203,209,221,1
176,202,210,221,1
177,202,210,221,1
178,202,210,221,1
179,202,210,221,1
180,201,209,220,1
181,201,209,220,1
182,201,209,220,1
183,201,209,220,1
184,200,208,219,1
185,200,208,219,1
186,200,208,219,1
187,200,208,219,1
188,200,208,219,1
189,200,208,219,1
190,200,208,219,1
191,200,208,219,1
192,198,206,217,1
193,198,206,217,1
194,198,206,217,1
195,197,205,216,1
196,197,205,216,1
197,197,205,216,1
198,197,205,216,1
199,197,205,216,1
200,199,207,218,1
201,199,207,218,1
202,200,208,219,1
203,200,208,219,1
204,200,208,219,1
205,200,208,219,1
206,201,209,220,1
207,201,209,220,1
208,195,205,217,1
209,195,205,217,1
210,194,204,216,1
211,193,203,215,1
212,192,202,214,1
213,191,201,213,1
214,190,200,212,1
215,190,200,212,1
216,187,197,209,1
217,187,197,209,1
218,186,196,208,1
219,185,195,207,1
220,184,194,206,1
221,184,194,206,1
222,183,193,205,1
223,183,193,205,1
224,181,193,207,1
225,181,193,207,1
226,181,193,207,1
227,181,193,207,1
228,182,194,208,1
229,183,195,209,1
230,185,197,211,1
231,185,197,211,1
232,186,198,212,1
233,184,196,210,1
234,183,195,209,1
235,185,197,211,1
236,189,201,215,1
237,191,203,217,1
238,190,202,216,1
239,187,201,214,1
240,186,202,215,1
241,185,203,215,1
242,184,202,214,1
243,184,202,214,1
244,184,202,214,1
245,184,202,214,1
246,184,202,214,1
247,184,202,214,1
248,184,202,214,1
249,184,202,214,1
250,184,202,214,1
251,184,202,214,1
252,184,202,214,1
253,184,202,214,1
254,184,202,214,1
255,185,201,214,1
256,187,201,214,1
257,188,200,214,1
258,188,200,214,1
259,187,199,213,1
260,187,199,213,1
261,186,198,212,1
262,185,199,212,1
263,184,198,211,1
264,186,200,213,1
265,185,199,212,1
266,183,199,212,1
267,181,197,210,1
268,180,196,209,1
269,179,195,208,1
270,178,194,207,1
271,178,194,207,1
272,177,193,206,1
273,175,191,204,1
274,170,187,203,1
275,167,184,200,1
276,166,183,201,1
277,166,183,201,1
278,167,183,206,1
279,168,184,207,1
280,163,181,203,1
281,162,180,202,1
282,160,178,200,1
283,159,177,199,1
284,157,178,197,1
285,157,178,197,1
286,158,179,196,1
287,158,179,196,1
288,157,178,197,1
289,157,178,197,1
290,157,178,197,1
291,157,178,197,1
292,157,178,197,1
293,157,178,197,1
294,157,178,199,1
295,157,178,199,1
296,153,174,195,1
297,153,174,195,1
298,153,173,197,1
299,152,172,196,1
300,152,172,196,1
301,151,171,195,1
302,151,171,195,1
303,149,171,194,1
304,147,171,195,1
305,147,173,196,1
306,148,174,197,1
307,150,176,199,1
308,152,176,200,1
309,154,178,202,1
310,155,179,203,1
311,156,180,204,1
312,160,182,206,1
313,159,181,205,1
314,159,179,204,1
315,158,178,203,1
316,5,5,5,1
317,7,7,7,1
318,1,1,1,1
319,1,1,1,1
320,243,243,243,1
321,1,1,1,1
322,1,1,1,1
323,1,1,1,1
324,1,1,1,1
325,1,1,1,1
326,1,1,1,1
327,1,1,1,1
328,215,217,204,1
329,245,247,234,1
330,235,237,224,1
331,215,217,206,1
332,230,232,221,1
333,6,7,1,1
334,236,237,231,1
335,220,221,216,1
336,13,13,11,1
337,3,3,1,1
338,7,7,5,1
339,3,3,3,1
340,6,6,6,1
341,4,4,4,1
342,213,213,213,1
343,219,219,217,1
344,224,225,220,1
345,218,219,213,1
346,234,236,225,1
347,208,210,197,1
348,192,194,180,1
349,229,232,215,1
350,222,224,211,1
351,10,12,7,1
352,6,7,9,1
353,229,230,232,1
354,222,223,225,1
355,235,236,238,1
356,232,233,235,1
357,217,218,220,1
358,239,240,242,1
359,221,222,224,1
360,232,233,237,1
361,232,233,237,1
362,224,225,229,1
363,227,228,232,1
364,238,239,243,1
365,216,220,221,1
366,224,228,227,1
367,222,228,226,1
368,218,227,226,1
369,216,225,224,1
370,215,223,226,1
371,214,222,225,1
372,215,222,230,1
373,215,222,230,1
374,212,221,230,1
375,211,220,229,1
376,209,217,228,1
377,208,216,227,1
378,207,217,227,1
379,208,218,227,1
380,209,219,229,1
381,210,220,230,1
382,210,218,229,1
383,210,219,228,1
384,210,219,228,1
385,210,219,228,1
386,210,219,226,1
387,210,219,226,1
388,210,219,224,1
389,210,219,224,1
390,212,222,224,1
391,212,222,224,1
392,212,222,223,1
393,213,223,224,1
394,214,224,225,1
395,214,224,225,1
396,214,224,223,1
397,215,225,226,1
398,218,223,227,1
399,217,222,226,1
400,218,221,226,1
401,217,220,225,1
402,219,220,225,1
403,220,221,226,1
404,221,220,226,1
405,222,221,227,1
